Jaagsiekteヒツジレトロウイルス	Jaagsiekte sheep retrovirus
網状赤血球数正常	Reticulocyte count normal
網状赤血球数減少	Reticulocyte count decreased
網状赤血球数異常	Reticulocyte count abnormal
網状赤血球百分率	Reticulocyte percentage
網膜レーザー凝固	Retinal laser coagulation
網膜外層管状構造	Outer retinal tubulation
網膜末梢血管拡張	Retinal telangiectasia
網膜血管造影正常	Angiogram retina normal
網膜血管造影異常	Angiogram retina abnormal
緑内障性視神経症	Glaucomatous optic neuropathy
線維化性結腸疾患	Fibrosing colonopathy
線維形成性中皮腫	Desmoplastic mesothelioma
線維形成性黒色腫	Desmoplastic melanoma
線維性骨皮質欠損	Fibrous cortical defect
線維柱帯色素沈着	Trabecular meshwork pigmentation
線維筋性形成異常	Fibromuscular dysplasia
線維素性唾液管炎	Sialodochitis fibrinosa
線維素性気管支炎	Fibrinous bronchitis
線維腺腫様乳腺症	Fibroadenomatoid mastopathy
緩和的放射線療法	Palliative radiation
縦隔の悪性新生物	Malignant mediastinal neoplasm
縦隔の良性新生物	Benign mediastinal neoplasm
縦隔リンパ節切除	Mediastinal lymphadenectomy
縦隔リンパ節腫脹	Lymphadenopathy mediastinal
肛門ポリープ切除	Anal polypectomy
肛門周囲体毛乱生	Anal trichiasis
肛門性器扁平苔癬	Anogenital lichen planus
肛門性器肉芽腫症	Anogenital granulomatosis
肛門括約筋過緊張	Anal sphincter hypertonia
肛門直腸ヘルペス	Anorectal herpes
肛門直腸ポリープ	Anorectal polyp
肛門直腸内圧測定	Anorectal manometry
肛門直腸帯状疱疹	Anorectal herpes zoster
肛門直腸感覚消失	Anorectal sensory loss
肝アブレーション	Liver ablation
肝炎ウイルス検査	Hepatitis viral test
肝胆道系障害予防	Hepatobiliary disorder prophylaxis
肝超音波検査正常	Ultrasound liver normal
肝超音波検査異常	Ultrasound liver abnormal
肢先端脳梁症候群	Acrocallosal syndrome
肥満細胞性白血病	Mastocytic leukaemia
肩回旋筋腱板修復	Rotator cuff repair
肺アブレーション	Pulmonary ablation
肺リンパ管拡張症	Pulmonary lymphangiectasia
肺内リンパ節腫脹	Intrapulmonary lymphadenopathy
肺創路切開止血術	Pulmonary tractotomy
肺動脈内膜剥離術	Pulmonary endarterectomy
肺原発悪性黒色腫	Primary pulmonary melanoma
肺成熟障害症候群	Pulmonary dysmaturity syndrome
肺炎球菌性中耳炎	Otitis media pneumococcal
肺炎球菌性敗血症	Pneumococcal sepsis
肺炎球菌性腹膜炎	Peritonitis pneumococcal
肺炎球菌性菌血症	Pneumococcal bacteraemia
肺炎球菌性髄膜炎	Meningitis pneumococcal
肺門リンパ節腫脹	Hilar lymphadenopathy
肺高血圧クリーゼ	Pulmonary hypertensive crisis
胃ステープリング	Gastric stapling
胃バンディング術	Gastric banding
胃十二指腸動脈瘤	Gastroduodenal artery aneurysm
胃粘膜石灰沈着症	Gastric mucosal calcinosis
胃腸ポリープ出血	Gastrointestinal polyp haemorrhage
胃腸管動静脈奇形	Gastrointestinal arteriovenous malformation
胃腸管血管異形成	Gastrointestinal angiodysplasia
胃酸分泌過多再燃	Rebound acid hypersecretion
胃食道逆流性疾患	Gastrooesophageal reflux disease
胆嚢ポリープ切除	Gallbladder polypectomy
胆嚢内乳頭状腫瘍	Intracholecystic papillary neoplasm
胆嚢腺扁平上皮癌	Gallbladder adenosquamous carcinoma
胆汁うっ滞性肝炎	Hepatitis cholestatic
胆汁うっ滞性黄疸	Jaundice cholestatic
胆道の良性新生物	Benign biliary neoplasm
胆道ジスキネジア	Biliary dyskinesia
胆道鋳造物症候群	Biliary cast syndrome
胎児の麻酔合併症	Anaesthetic complication foetal
胎児アシドーシス	Foetal acidosis
胎児タバコ症候群	Foetal tobacco syndrome
胎児ヘモグロビン	Foetal haemoglobin
胎児モニタリング	Foetal monitoring
胎児性横紋筋肉腫	Embryonal rhabdomyosarcoma
胎児血管潅流障害	Foetal vascular malperfusion
胎児頻脈性不整脈	Foetal tachyarrhythmia
胎盤遺残除去手術	Retained placenta operation
胞巣状横紋筋肉腫	Alveolar rhabdomyosarcoma
胸腔チューブ挿入	Chest tube insertion
胸腔チューブ除去	Chest tube removal
胸膜の良性新生物	Benign pleural neoplasm
胸部スキャン異常	Chest scan abnormal
胸部打聴診音増強	Thorax hyperphonesis
胸部脊柱管狭窄症	Thoracic spinal stenosis
胸鎖乳突筋症候群	Sternocleidomastoid syndrome
胸骨鋼線結紮固定	Sternal wiring
脂肪過負荷症候群	Fat overload syndrome
脈絡叢黄色肉芽腫	Choroid plexus xanthogranuloma
脊椎後方すべり症	Spinal retrolisthesis
脊椎骨端異形成症	Spondyloepiphyseal dysplasia
脊髄くも膜下出血	Spinal subarachnoid haemorrhage
脊髄コルドトミー	Spinal cordotomy
脊髄分節機能不全	Spinal segmental dysfunction
脱分化型脂肪肉腫	Dedifferentiated liposarcoma
脳アミロイド小体	Corpora amylacea brain
脳卒中後てんかん	Post stroke epilepsy
脳卒中後痙攣発作	Post stroke seizure
脳実質外動脈解離	Precerebral artery dissection
脳実質外動脈閉塞	Precerebral artery occlusion
脳底動脈型片頭痛	Basilar migraine
脳心筋炎ウイルス	Encephalomyocarditis virus
脳毛細血管拡張症	Cerebral capillary telangiectasia
脳海綿状血管奇形	Cerebral cavernous malformation
脳神経膠細胞集合	Brain satellitosis
脳肋骨下顎症候群	Cerebrocostomandibular syndrome
脳血管動静脈奇形	Cerebrovascular arteriovenous malformation
脳血管漏斗状拡大	Cerebrovascular infundibular dilatation
脳超音波検査正常	Echoencephalogram normal
脳超音波検査異常	Echoencephalogram abnormal
脾臓の悪性新生物	Malignant splenic neoplasm
脾臓スキャン正常	Spleen scan normal
脾臓スキャン異常	Spleen scan abnormal
脾臓分離クリーゼ	Splenic sequestration crisis
腋窩リンパ節郭清	Axillary lymphadenectomy
腎アブレーション	Kidney ablation
腎尿細管機能障害	Renal tubular dysfunction
腎炎関連自己抗体	Nephritic factor autoantibody
腎臓の良性新生物	Benign renal neoplasm
腎超音波検査正常	Ultrasound kidney normal
腎超音波検査異常	Ultrasound kidney abnormal
腕橈骨筋そう痒症	Brachioradial pruritus
腟ペッサリー抜去	Vaginal pessary removal
腟ペッサリー挿入	Vaginal pessary insertion
腫瘍マーカー上昇	Tumour marker increased
腫瘍マーカー低下	Tumour marker decreased
腫瘍マーカー検査	Tumour marker test
腫瘍マーカー異常	Tumour marker abnormal
腫瘍ワクチン療法	Tumour vaccine therapy
腫瘍縮小効果判定	Tumour response assessment
腫瘍随伴性低血糖	Paraneoplastic hypoglycaemia
腫瘍随伴性多毛症	Paraneoplastic hypertrichosis
腫瘍随伴性天疱瘡	Paraneoplastic pemphigus
腫瘍随伴性皮膚症	Paraneoplastic dermatosis
腫瘍随伴性紅痛症	Paraneoplastic erythromelalgia
腫瘍随伴性網膜症	Paraneoplastic retinopathy
腫瘍随伴性血栓症	Paraneoplastic thrombosis
腫瘍随伴性関節炎	Paraneoplastic arthritis
腰仙部神経叢病変	Lumbosacral plexus lesion
腰仙部神経叢障害	Lumbosacral plexopathy
腰仙部神経根障害	Lumbosacral radiculopathy
腰部脊柱管狭窄症	Lumbar spinal stenosis
腸トリコモナス症	Trichomoniasis intestinal
腸球菌性心内膜炎	Endocarditis enterococcal
腸管ステント挿入	Intestinal stent insertion
腸管ステント除去	Intestinal stent removal
腸管移植拒絶反応	Intestine transplant rejection
腸間膜リンパ節炎	Mesenteric lymphadenitis
腸間膜動脈塞栓術	Mesenteric artery embolisation
腸間膜動脈硬化症	Mesenteric arteriosclerosis
腸間膜動脈血栓症	Mesenteric artery thrombosis
腸間膜牽引症候群	Mesenteric traction syndrome
腸間膜静脈塞栓症	Mesenteric vein embolism
腸間膜静脈硬化症	Mesenteric phlebosclerosis
腸間膜静脈血栓症	Thrombosis mesenteric vessel
腹腔静脈シャント	Peritoneovenous shunt
腹膜の悪性新生物	Malignant peritoneal neoplasm
腹膜の良性新生物	Benign peritoneal neoplasm
腹膜癒着部切離術	Peritoneal adhesions division
腹膜透析排液検査	Peritoneal effluent analysis
腹膜透析排液正常	Peritoneal effluent normal
腹膜透析排液混濁	Peritoneal cloudy effluent
腹膜透析排液異常	Peritoneal effluent abnormal
腹部の良性新生物	Benign abdominal neoplasm
腹部スキャン正常	Abdomen scan normal
腹部スキャン異常	Scan abdomen abnormal
腹部ヘルニア修復	Abdominal hernia repair
腹部ヘルニア感染	Abdominal hernia infection
腹部ヘルニア穿孔	Abdominal hernia perforation
腹部リンパ節腫脹	Abdominal lymphadenopathy
膀胱タンポナーデ	Bladder tamponade
膀胱ポリープ切除	Bladder polypectomy
膀胱毛細血管拡張	Bladder telangiectasia
膝窩動脈脈拍増加	Popliteal pulse increased
膝窩動脈脈拍正常	Popliteal pulse normal
膝窩動脈脈拍減少	Popliteal pulse decreased
膝窩動脈脈拍異常	Popliteal pulse abnormal
膝窩翼状片症候群	Popliteal pterygium syndrome
膵嚢胞ドレナージ	Pancreatic cyst drainage
膵神経内分泌腫瘍	Pancreatic neuroendocrine tumour
膵管ステント留置	Pancreatic stent placement
膵管ステント除去	Pancreatic stent removal
膵臓の良性新生物	Benign pancreatic neoplasm
膵超音波検査正常	Ultrasound pancreas normal
膵超音波検査異常	Ultrasound pancreas abnormal
自己免疫性卵巣炎	Autoimmune oophoritis
自己免疫性大腸炎	Autoimmune colitis
自己免疫性心筋炎	Autoimmune myocarditis
自己免疫性心膜炎	Autoimmune pericarditis
自己免疫性皮膚炎	Autoimmune dermatitis
自己免疫性網膜症	Autoimmune retinopathy
自己免疫性肺疾患	Autoimmune lung disease
自己免疫性胆管炎	Autoimmune cholangitis
自己免疫性脊髄炎	Autoimmune myelitis
自己免疫性関節炎	Autoimmune arthritis
自律神経異常反射	Autonomic dysreflexia
自然災害の目撃者	Natural disaster witness
自発的オルガズム	Spontaneous orgasm
自閉症広域表現型	Broad autism phenotype
舌下神経不全麻痺	Hypoglossal nerve paresis
良性前立腺肥大症	Benign prostatic hyperplasia
良性副甲状腺腫瘍	Parathyroid tumour benign
良性家族性天疱瘡	Benign familial pemphigus
良性膵高酵素血症	Benign pancreatic hyperenzymaemia
良性若年性黒色腫	Juvenile melanoma benign
若年性多発性筋炎	Juvenile polymyositis
若年性脊椎関節炎	Juvenile spondyloarthritis
若年性血管線維腫	Juvenile angiofibroma
若年性足底皮膚症	Juvenile plantar dermatosis
若年性黄色肉芽腫	Juvenile xanthogranuloma
若年欠神てんかん	Juvenile absence epilepsy
落屑性炎症性腟炎	Desquamative inflammatory vaginitis
薬剤再投与後再発	Drug rechallenge positive
薬剤漸増漸減過誤	Drug titration error
薬物クリアランス	Drug clearance
薬物濃度上下変動	Drug level fluctuating
薬物特異体質反応	Idiosyncratic drug reaction
虚血性僧帽弁逆流	Ischaemic mitral regurgitation
蛋白アルブミン比	Protein albumin ratio
蛋白細胞解離陽性	Albuminocytological dissociation present
蛋白電気泳動正常	Electrophoresis protein normal
蛋白電気泳動異常	Electrophoresis protein abnormal
蛍光血管造影正常	Fluorescence angiogram normal
蛍光血管造影異常	Fluorescence angiogram abnormal
蠕虫性リンパ節炎	Lymphadenitis helminthic
血中アルミニウム	Blood aluminium
血中エストロゲン	Blood oestrogen
血中エラスターゼ	Blood elastase
血中カリウム増加	Blood potassium increased
血中カリウム正常	Blood potassium normal
血中カリウム減少	Blood potassium decreased
血中カリウム異常	Blood potassium abnormal
血中カルシトニン	Blood calcitonin
血中ガラクトース	Blood galactose
血中クレアチニン	Blood creatinine
血中クロール増加	Blood chloride increased
血中クロール正常	Blood chloride normal
血中クロール減少	Blood chloride decreased
血中クロール異常	Blood chloride abnormal
血中コバルト増加	Blood cobalt increased
血中コルチゾール	Blood cortisol
血中ブドウ糖増加	Blood glucose increased
血中ブドウ糖変動	Blood glucose fluctuation
血中ブドウ糖正常	Blood glucose normal
血中ブドウ糖減少	Blood glucose decreased
血中ブドウ糖異常	Blood glucose abnormal
血中プロラクチン	Blood prolactin
血中マグネシウム	Blood magnesium
血中ミオグロビン	Myoglobin blood
血中成長ホルモン	Blood growth hormone
血中重炭酸塩増加	Blood bicarbonate increased
血中重炭酸塩正常	Blood bicarbonate normal
血中重炭酸塩減少	Blood bicarbonate decreased
血中重炭酸塩異常	Blood bicarbonate abnormal
血友病キャリアー	Haemophilia carrier
血小板凝集能検査	Platelet aggregation test
血小板大小不同症	Platelet anisocytosis
血小板機能異常症	Platelet dysfunction
血小板粘着性増加	Platelet adhesiveness increased
血小板粘着性正常	Platelet adhesiveness normal
血小板粘着性減少	Platelet adhesiveness decreased
血小板粘着性異常	Platelet adhesiveness abnormal
血性腹膜透析排液	Bloody peritoneal effluent
血栓性微小血管症	Thrombotic microangiopathy
血液学的悪性疾患	Haematological neoplasm
血液学的検査正常	Haematology test normal
血液学的検査異常	Haematology test abnormal
血液学的血清療法	Haematologic serotherapy
血清学的検査正常	Serology normal
血清学的検査異常	Serology abnormal
血清学的検査陰性	Serology negative
血清学的検査陽性	Serology positive
血管の良性新生物	Benign vascular neoplasm
血管アクセス留置	Vascular access placement
血管ステント挿入	Vascular stent insertion
血管ステント狭窄	Vascular stent stenosis
血管ステント閉塞	Vascular stent occlusion
血管ステント除去	Vascular stent removal
血管デバイス感染	Vascular device infection
血管デバイス閉塞	Vascular device occlusion
血管偽動脈瘤破裂	Vascular pseudoaneurysm ruptured
血管吻合部動脈瘤	Vascular anastomosis aneurysm
血管形成後再狭窄	Post angioplasty restenosis
血行力学検査正常	Haemodynamic test normal
血行力学検査異常	Haemodynamic test abnormal
術前ホルモン療法	Preoperative hormone treatment
術後卵巣機能不全	Ovarian failure postoperative
術後急性唾液腺炎	Acute postoperative sialadenitis
術後精巣機能不全	Testicular failure postoperative
表在性静脈血栓症	Superficial vein thrombosis
被嚢性腹膜硬化症	Encapsulating peritoneal sclerosis
裂孔ヘルニア修復	Hernia hiatus repair
裂孔原性網膜剥離	Rhegmatogenous retinal detachment
製品の化学的汚染	Product contamination chemical
製品の微生物汚染	Product contamination microbial
製品の物理的汚染	Product contamination physical
製品サイズの問題	Product size issue
製品付着性の問題	Product adhesion issue
製品供給力の問題	Product availability issue
製品流通時の問題	Product distribution issue
製品溶解性の異常	Product solubility abnormal
規定量以上の投与	Extra dose administered
視覚情報処理障害	Visual processing disorder
角膜局所所見正常	Topography corneal normal
角膜局所所見異常	Topography corneal abnormal
解離性同一性障害	Dissociative identity disorder
解離性心筋内血腫	Intramyocardial dissecting haematoma
誤った製品の保管	Wrong product stored
誤った製品の調達	Wrong product procured
誤った製品の適用	Wrong product administered
赤血球系成熟停止	Erythroid maturation arrest
超音波内視鏡検査	Endoscopic ultrasound
足底腱膜線維腫症	Plantar fascial fibromatosis
足病学的検査正常	Podiatric examination normal
足病学的検査異常	Podiatric examination abnormal
足関節上腕血圧比	Ankle brachial index
距骨下関節制動術	Subtalar arthroereisis
身体障害の近親者	Disabled relative
軟膜下皮質多切術	Multiple subpial transection
軟骨の良性新生物	Benign cartilage neoplasm
軟骨外胚葉異形成	Chondroectodermal dysplasia
軽症型サラセミア	Thalassaemia minor
輪状咽頭機能不全	Cricopharyngeal dysfunction
近視性牽引黄斑症	Myopic traction maculopathy
透析による高血圧	Dialysis induced hypertension
透析不均衡症候群	Dialysis disequilibrium syndrome
透析時非経腸栄養	Intradialytic parenteral nutrition
通年性アレルギー	Perennial allergy
造影剤アレルギー	Contrast media allergy
進行性ワクシニア	Progressive vaccinia
進行性塊状線維症	Progressive massive fibrosis
進行性外眼筋麻痺	Progressive external ophthalmoplegia
進行性小脳変性症	Progressive cerebellar degeneration
進行性核上性麻痺	Progressive supranuclear palsy
遅発性アカシジア	Tardive akathisia
遊走性血栓静脈炎	Thrombophlebitis migrans
遊離サイロキシン	Thyroxine free
遊離ヘモグロビン	Free haemoglobin
運動失調評価尺度	Ataxia assessment scale
過剰可動性症候群	Hypermobility syndrome
適用部位そう痒感	Application site pruritus
適用部位異常感覚	Application site paraesthesia
適用部位皮膚剥脱	Application site exfoliation
適用部位知覚不全	Application site dysaesthesia
適用部位知覚低下	Application site hypoaesthesia
適用部位知覚消失	Application site anaesthesia
適用部位知覚過敏	Application site hyperaesthesia
適用部位過敏反応	Application site hypersensitivity
遺伝性小球性貧血	Hereditary microcytic anaemia
遺伝性掌蹠角化症	Hereditary palmoplantar keratoderma
遺伝性溶血性貧血	Hereditary haemolytic anaemia
遺伝性痙性対麻痺	Hereditary spastic paraplegia
遺伝性脳変性疾患	Hereditary cerebral degeneration
遺伝性血管性浮腫	Hereditary angioedema
遺伝性視神経萎縮	Hereditary optic atrophy
遺伝性運動失調症	Hereditary ataxia
避妊スポンジ使用	Contraceptive sponge use
避妊用ペッサリー	Contraceptive diaphragm
配偶子卵管内移植	Gamete intrafallopian transfer
鉄欠乏性嚥下障害	Sideropenic dysphagia
鎌状赤血球網膜症	Retinopathy sickle cell
鎖骨下動脈塞栓症	Subclavian artery embolism
鎖骨下動脈硬化症	Subclavian arteriosclerosis
鎖骨下動脈血栓症	Subclavian artery thrombosis
鎖骨下静脈塞栓症	Subclavian vein embolism
鎖骨下静脈血栓症	Subclavian vein thrombosis
門脈周囲洞拡張症	Periportal sinus dilatation
門脈圧亢進性腸症	Portal hypertensive enteropathy
閉塞性喉頭気管炎	Laryngotracheitis obstructive
閉塞性細気管支炎	Obliterative bronchiolitis
閉塞性網膜血管炎	Retinal occlusive vasculitis
閉経後骨量減少症	Postmenopausal osteopenia
閉鎖骨折徒手整復	Closed fracture manipulation
間接クームス試験	Coombs indirect test
間欠性爆発性障害	Intermittent explosive disorder
間脳性内分泌障害	Endocrinopathy diencephalic
関節の悪性新生物	Malignant joint neoplasm
関節の良性新生物	Benign joint neoplasm
関節液ドレナージ	Joint fluid drainage
陰茎の良性新生物	Benign penile neoplasm
陰茎海綿体血栓症	Thrombosis corpora cavernosa
陰部単純ヘルペス	Genital herpes simplex
陰部神経ブロック	Pudendal block
陰部神経管症候群	Pudendal canal syndrome
離脱性カタトニー	Withdrawal catatonia
電子タバコ使用者	Electronic cigarette user
静脈うっ滞網膜症	Venous stasis retinopathy
静脈ステント挿入	Venous stent insertion
静脈内平滑筋腫症	Intravenous leiomyomatosis
静脈血酸素飽和度	Venous oxygen saturation
静脈閉塞性肝疾患	Venoocclusive liver disease
非定型大腿骨骨折	Atypical femur fracture
非感染性クループ	Croup noninfectious
非感染性唾液腺炎	Noninfective sialoadenitis
非感染性心内膜炎	Endocarditis noninfective
非感染性気管支炎	Noninfective bronchitis
非感染性脳脊髄炎	Noninfective encephalomyelitis
非確定的検査結果	Indeterminate investigation result
頚動脈内膜剥離術	Carotid endarterectomy
頚動脈延長拡張症	Carotid artery dolichoectasia
頚動脈破裂症候群	Carotid blowout syndrome
頚椎症性筋萎縮症	Cervical spondylotic amyotrophy
頚神経叢ブロック	Cervical plexus block
頚部脊柱管狭窄症	Cervical spinal stenosis
頭蓋内悪性髄膜腫	Intracranial meningioma malignant
頭蓋形状誘導療法	Cranial remodelling therapy
頭部乳頭状皮膚炎	Dermatitis papillaris capillitii
顆粒球百分率増加	Granulocyte percentage increased
顆粒球百分率減少	Granulocyte percentage decreased
顔面指性器異形成	Faciodigitogenital dysplasia
類表皮嚢胞切除術	Epidermoid cyst excision
食事による鉄過剰	Dietary iron overload
食物との相互作用	Food interaction
食道の良性新生物	Benign oesophageal neoplasm
食道ジスキネジア	Dyskinesia oesophageal
食道ステント狭窄	Oesophageal stent stenosis
食道ステント除去	Oesophageal stent removal
食道タンポナーデ	Oesophageal tamponade
食道ポリープ切除	Oesophageal polypectomy
食道多発輪状狭窄	Feline oesophagus
食道腺扁平上皮癌	Oesophageal adenosquamous carcinoma
骨デブリードマン	Bone debridement
骨内アクセス留置	Intraosseous access placement
骨折による偽関節	Fracture nonunion
骨盤内炎症性疾患	Pelvic inflammatory disease
骨盤部超音波検査	Ultrasound pelvis
骨髄増殖性新生物	Myeloproliferative neoplasm
骨髄炎ドレナージ	Osteomyelitis drainage
骨髄球百分率増加	Myelocyte percentage increased
骨髄球百分率減少	Myelocyte percentage decreased
骨髄異形成症候群	Myelodysplastic syndrome
髄腔内ポンプ挿入	Intrathecal pump insertion
髄膜炎菌性心筋炎	Myocarditis meningococcal
髄膜炎菌性心膜炎	Pericarditis meningococcal
髄膜炎菌性心臓炎	Meningococcal carditis
髄膜炎菌性敗血症	Meningococcal sepsis
髄膜炎菌性菌血症	Meningococcal bacteraemia
髄膜炎菌性髄膜炎	Meningitis meningococcal
高ナトリウム尿症	Urine sodium increased
高血圧性血管障害	Hypertensive angiopathy
高血糖性意識消失	Hyperglycaemic unconsciousness
鳥インフルエンザ	Avian influenza
黄斑部網膜厚測定	Macula thickness measurement
黒色菌糸症脳膿瘍	Phaeohyphomycotic brain abscess
鼓膜聴力検査正常	Tympanometry normal
鼓膜聴力検査異常	Tympanometry abnormal
鼡径ヘルニア穿孔	Inguinal hernia perforation
鼻うっ血除去療法	Nasal decongestion therapy
鼻プロテーゼ挿入	Nose prosthesis insertion
鼻汁中好酸球陽性	Nasal eosinophils present
鼻脳型ムコール症	Rhinocerebral mucormycosis
Ｓ状静脈洞血栓症	Sigmoid sinus thrombosis
C.エレガンス	Caenorhabditis elegans
βグロビン異常	Beta globin abnormal
うっ滞性皮膚炎	Stasis dermatitis
うっ血性心不全	Cardiac failure congestive
うっ血性肝障害	Congestive hepatopathy
くも膜嚢胞手術	Arachnoid cyst surgery
つぎ足歩行検査	Tandem gait test
てんかんの前兆	Epileptic aura
てんかん性脳症	Epileptic encephalopathy
てんかん精神病	Epileptic psychosis
びまん性脱毛症	Diffuse alopecia
びらん性亀頭炎	Erosive balanitis
びらん性大腸炎	Colitis erosive
びらん性膀胱炎	Cystitis erosive
びらん性食道炎	Erosive oesophagitis
ぶどう膜黒色腫	Uveal melanoma
アイパッチ適用	Eye patch application
アエロゲネス菌	Enterobacter aerogenes
アエロコッカス	Aerococcus
アエロバクター	Enterobacter
アコレプラスマ	Acholeplasma
アセトバクター	Acetobacter
アセブトロール	Acebutolol
アゾスピリルム	Azospirillum
アゾトバクター	Azotobacter
アデノイド肥大	Adenoidal hypertrophy
アデノイド障害	Adenoidal disorder
アニソマイシン	Anisomycin
アブラツノザメ	Squalus acanthias
アポクリン汗疹	Apocrine miliaria
アマルガム刺青	Amalgam tattoo
アミラーゼ増加	Amylase increased
アミラーゼ正常	Amylase normal
アミラーゼ減少	Amylase decreased
アミラーゼ異常	Amylase abnormal
アルカリ大便菌	Alcaligenes faecalis
アルコバクター	Arcobacter
アルコール中毒	Alcohol poisoning
アルコール乱用	Alcohol abuse
アルコール検査	Alcohol test
アルテロモナス	Alteromonas
アレルギー予防	Allergy prophylaxis
アレルギー検査	Allergy test
アンモニア増加	Ammonia increased
アンモニア正常	Ammonia normal
アンモニア減少	Ammonia decreased
アンモニア異常	Ammonia abnormal
アーレン症候群	Irlen syndrome
イオノマイシン	Ionomycin
イソ吉草酸血症	Isovaleric acidaemia
インスリン療法	Insulin therapy
ウイルス性発疹	Viral rash
ウイルス性筋炎	Viral myositis
ウイルス性肝炎	Hepatitis viral
ウイルス性肺炎	Pneumonia viral
ウイルス性胃炎	Gastritis viral
ウイルス性脳炎	Encephalitis viral
ウイルス性腟炎	Vaginitis viral
ウイルス性腸炎	Enterocolitis viral
ウイルス性膵炎	Pancreatitis viral
ウイルス性鼻炎	Viral rhinitis
ウイルス重感染	Superinfection viral
ウイルス量増加	Viral load increased
ウイルス量減少	Viral load decreased
ウイルス量異常	Viral load abnormal
ウエスト周囲径	Waist circumference
ウシモラクセラ	Moraxella bovis
ウレアプラズマ	Ureaplasma
エキノマイシン	Echinomycin
エストロン増加	Oestrone increased
エストロン減少	Oestrone decreased
エゾアカガエル	Rana temporaria
エドワージエラ	Edwardsiella
エナメル上皮癌	Ameloblastic carcinoma
エナメル質異常	Enamel anomaly
エルシニア感染	Yersinia infection
エルシニア検査	Yersinia test
エーリキア検査	Ehrlichia test
オエノコッカス	Oenococcus
オオヒキガエル	Bufo marinus
オクロモナス属	Ochromonas
オグデン症候群	Ogden syndrome
オムスク出血熱	Omsk haemorrhagic fever
オメプラゾール	Omeprazole
オランウータン	Pongo pygmaeus
オルガズム異常	Orgasm abnormal
オルトレキシア	Orthorexia nervosa
オルフウイルス	Orf virus
オロプーシェ熱	Oropouche fever
オーメン症候群	Omenn syndrome
カウロバクター	Caulobacter
カテーテル留置	Catheter placement
カテーテル管理	Catheter management
カテーテル除去	Catheter removal
カニングハメラ	Cunninghamella
カフェイン依存	Caffeine dependence
カフェイン消費	Caffeine consumption
カルシウム中毒	Calcium intoxication
カルシウム欠乏	Calcium deficiency
カルシマイシン	Calcimycin
カルニチン増加	Carnitine increased
カルニチン正常	Carnitine normal
カルニチン減少	Carnitine decreased
カルニチン異常	Carnitine abnormal
カワリミズカビ	Allomyces
カンジダ性肺炎	Candida pneumonia
カーニー複合体	Carney complex
ガルシニアコラ	Garcinia kola
ガンサー症候群	Ganser syndrome
キサントモナス	Xanthomonas
キタサマイシン	Kitasamycin
ギプス包帯使用	Cast application
ギプス包帯除去	Cast removal
ギャンブル障害	Gambling disorder
クックス症候群	Cooks syndrome
クラミジア感染	Chlamydial infection
クラミジア検査	Chlamydia test
クリスタル腎症	Crystal nephropathy
クロタネソウ属	Nigella
クローン性造血	Clonal haematopoiesis
グアナーゼ増加	Guanase increased
グラム染色陰性	Gram stain negative
グラム染色陽性	Gram stain positive
グリセリ症候群	Griscelli syndrome
グルテン失調症	Gluten ataxia
グルテン過敏症	Gluten sensitivity
グロブリン増加	Globulins increased
グロブリン減少	Globulins decreased
グロブリン異常	Globulin abnormal
ケモカイン増加	Chemokine increased
ケモカイン検査	Chemokine test
ケモカイン減少	Chemokine decreased
ケモカイン異常	Chemokine abnormal
コクシエラ感染	Coxiella infection
コクシエラ検査	Coxiella test
コステロ症候群	Costello syndrome
コホルマイシン	Coformycin
コリン性蕁麻疹	Urticaria cholinergic
コロラドダニ熱	Colorado tick fever
コーエン症候群	Cohen syndrome
コーニス症候群	Kounis syndrome
サイクロスポラ	Cyclospora
サルベージ療法	Salvage therapy
サルモネラ検査	Salmonella test
サル痘ウイルス	Monkeypox virus
サヴァン症候群	Savant syndrome
サーモプラズマ	Thermoplasma
ザントバクター	Xanthobacter
シェロング試験	Schellong test
シトロバクター	Citrobacter
シネココッカス	Synechococcus
シミター症候群	Scimitar syndrome
シャピロ症候群	Shapiro syndrome
シャント血栓症	Shunt thrombosis
シュードモナス	Pseudomonas
シリコン肉芽腫	Silicon granuloma
シリンジの問題	Syringe issue
シロアリタケ属	Termitomyces
シンブウイルス	Simbu virus
ジアルジア検査	Giardia test
ジストニア振戦	Dystonic tremor
ジフテリア免疫	Diphtheria immunisation
ジョサマイシン	Josamycin
スタノゾロール	Stanozolol
ステロイド依存	Steroid dependence
ステロイド活性	Steroid activity
ステロイド療法	Steroid therapy
ストレス心筋症	Stress cardiomyopathy
ストーマ合併症	Stoma complication
ストーマ部出血	Stoma site haemorrhage
ストーマ部分泌	Stoma site discharge
ストーマ部創傷	Stoma site wound
ストーマ部反応	Stoma site reaction
ストーマ部感染	Stoma site infection
ストーマ部浮腫	Stoma site oedema
ストーマ部潰瘍	Stoma site ulcer
ストーマ部炎症	Stoma site inflammation
ストーマ部疼痛	Stoma site pain
ストーマ部発疹	Stoma site rash
ストーマ部硬結	Stoma site induration
ストーマ部紅斑	Stoma site erythema
ストーマ部膿瘍	Stoma site abscess
ストーマ部虚血	Stoma site ischaemia
ストーマ部血栓	Stoma site thrombosis
ストーマ静脈瘤	Stomal varices
スピラマイシン	Spiramycin
スピロプラズマ	Spiroplasma
スプリント装着	Splint application
セイヨウハッカ	Mentha piperita
セクレチン試験	Secretin test
